Reservation ID,Guest Name,Room Number,Room Type,Check-in Date,Check-out Date,Total Cost
RES-082,Guest 82,103,Single,2025-06-06,2025-06-08,200
RES-083,Guest 83,108,Single,2025-06-09,2025-06-13,400
RES-084,Guest 84,107,Single,2025-06-02,2025-06-03,100
RES-085,Guest 85,101,Single,2025-06-11,2025-06-16,500
RES-086,Guest 86,210,Double,2025-06-10,2025-06-13,450
RES-087,Guest 87,304,Suite,2025-06-05,2025-06-07,600
RES-088,Guest 88,305,Suite,2025-06-28,2025-06-29,300
RES-089,Guest 89,201,Double,2025-06-30,2025-07-01,150
RES-090,Guest 90,103,Single,2025-06-06,2025-06-10,400
RES-091,Guest 91,303,Suite,2025-06-04,2025-06-07,900
RES-092,Guest 92,103,Single,2025-06-23,2025-06-26,300
RES-093,Guest 93,205,Double,2025-06-09,2025-06-10,150
RES-094,Guest 94,108,Single,2025-06-10,2025-06-11,100
RES-095,Guest 95,105,Single,2025-06-25,2025-06-30,500
RES-096,Guest 96,201,Double,2025-06-13,2025-06-18,750
RES-097,Guest 97,303,Suite,2025-06-21,2025-06-23,600
RES-098,Guest 98,309,Suite,2025-06-04,2025-06-05,300
RES-099,Guest 99,204,Double,2025-06-01,2025-06-03,300

